feature,importance
redshift,0.33380087506795486
u_g,0.21418545297309113
g_r,0.1895098192226078
i_z,0.08982365925857966
r_i,0.07816708347395353
u,0.02850944460927532
z,0.01856165436023334
r,0.018434179336195306
i,0.015229194358671984
g,0.013778637339437294
